Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
9/24/2019;09:52:32;9/26/2019;Trade;1000000;100.450;;M;;_;_;-;-;S;D;C;92850FAB0
9/24/2019;09:51:53;9/26/2019;Trade;1000000;100.350;;M;;_;_;-;-;B;D;C;92850FAB0
7/31/2019;09:30:47;8/2/2019;Trade;1000000;100.400;;M;;_;_;-;-;S;D;C;92850FAB0
7/31/2019;09:26:55;8/2/2019;Trade;1000000;100.300;;M;;_;_;-;-;B;D;C;92850FAB0
7/19/2019;09:24:51;7/23/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;92850FAB0
7/19/2019;09:24:19;7/23/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;92850FAB0
7/10/2019;10:10:51;7/12/2019;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;92850FAB0
7/10/2019;10:10:01;7/12/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;92850FAB0
5/2/2019;11:10:00;5/6/2019;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;92850FAB0
5/2/2019;11:09:07;5/6/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;92850FAB0
