,IS,OOS,Measure,OLS,Lasso,Ridge,Elastic Net,RF
0,2003-2007,2008-2009,RMSE,0.024,0.024,0.024,0.024,0.0067
1,,,R2,0.8306,0.8306,0.8293,0.8304,0.9869
2,2004-2008,2009-2010,RMSE,0.0336,0.0336,0.0334,0.0335,0.0086
3,,,R2,0.5861,0.5861,0.5879,0.5865,0.9735
4,2005-2009,2010-2011,RMSE,0.028999999999999998,0.028999999999999998,0.0289,0.028999999999999998,0.007
5,,,R2,0.636,0.636,0.6366,0.6362,0.9796
6,2006-2010,2011-2012,RMSE,0.0253,0.0253,0.0253,0.0253,0.0058
7,,,R2,0.6731,0.6731,0.6738,0.6733,0.9822
8,2007-2011,2012-2013,RMSE,0.0214,0.0214,0.0214,0.0214,0.0054
9,,,R2,0.7242,0.7242,0.7247,0.7244,0.9845
10,2008-2012,2013-2014,RMSE,0.0216,0.0216,0.0216,0.0216,0.0066
11,,,R2,0.7374,0.7374,0.7373,0.7374,0.9818
12,2009-2013,2014-2015,RMSE,0.0245,0.0245,0.0245,0.0245,0.0046
13,,,R2,0.6699,0.6699,0.6682,0.6693,0.989
14,2010-2014,2015-2016,RMSE,0.0219,0.0219,0.0219,0.0219,0.0037
15,,,R2,0.7274,0.7274,0.7253,0.7266,0.99
16,2011-2015,2016-2017,RMSE,0.0356,0.0356,0.0354,0.0355,0.0045
17,,,R2,0.391,0.391,0.3912,0.3911,0.9823
18,2012-2016,2017-2018,RMSE,0.0279,0.0279,0.0279,0.0279,0.0031
19,,,R2,0.6989,0.6989,0.6974,0.6983,0.9909
20,2013-2017,2018-2019,RMSE,0.0244,0.0244,0.0243,0.0244,0.0025
21,,,R2,0.7562,0.7562,0.7572,0.7566,0.9951
22,2014-2018,2019-2020,RMSE,0.023,0.023,0.0229,0.023,0.004
23,,,R2,0.628,0.628,0.6286,0.6283,0.9879
24,Mean,,RMSE,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.0052
25,,,R2,0.6716,0.6716,0.6715,0.6715,0.9853
26,Median,,RMSE,0.0245,0.0245,0.0245,0.0245,0.0052
27,,,R2,0.6731,0.6731,0.6738,0.6733,0.9853
28,Std. Dev.,,RMSE,0.0041,0.0041,0.0041,0.0041,0.0016
29,,,R2,0.0973,0.0973,0.09699999999999999,0.0972,0.0052
